nace_r2;geo;n2015
B;RO11;3914
B;RO12;8458
B;RO2;6036
B;RO21;2387
B;RO22;3649
B;RO3;16012
B;RO31;10561
B;RO32;5451
B;RO4;23665
B;RO41;15699
B;RO42;7966
B;SE;10336
B;SE1;1220
B;SE11;323
B;SE12;897
B;SE2;1308
B;SE21;330
B;SE22;425
B;SE23;553
B;SE3;7808
B;SE31;913
B;SE32;214
B;SE33;6681
B;SEZ; 
B;SEZZ; 
B;SI;2413
B;SI0;2413
B;SI01; 
B;SI02; 
B;SI03;1828
B;SI04;585
B;SK;6822
B;SK0;6822
B;SK01;1066
B;SK02;4252
B;SK03;748
B;SK04;756
B;SKZ; 
B;SKZZ; 
B;UK;61256
B;UKC;1836
B;UKC1;1357
B;UKC2;479
B;UKD;1511
B;UKD1;313
B;UKD2; 
B;UKD3;186
B;UKD4;472
B;UKD5; 
B;UKD6;401
B;UKD7;140
B;UKE;2674
B;UKE1;571
B;UKE2;866
B;UKE3;793
B;UKE4;443
B;UKF;5056
B;UKF1;2030
B;UKF2;2574
B;UKF3;453
B;UKG;944
B;UKG1;214
B;UKG2;598
B;UKG3;133
B;UKH;1582
B;UKH1;1298
B;UKH2;121
B;UKH3;163
B;UKI;3202
B;UKI1; 
B;UKI2; 
B;UKI3;2201
B;UKI4;94
B;UKI5;86
B;UKI6;12
B;UKI7;810
B;UKJ;2240
B;UKJ1;1211
B;UKJ2;345
B;UKJ3;372
B;UKJ4;312
B;UKK;3357
B;UKK1;851
B;UKK2;1070
B;UKK3;873
B;UKK4;563
B;UKL;1615
B;UKL1;1358
B;UKL2;257
B;UKM;35594
B;UKM2;943
B;UKM3;923
B;UKM5;32916
B;UKM6;812
B;UKN;1644
B;UKN0;1644
B05;AT;0
B05;AT1;0
B05;AT11;0
B05;AT12;0
B05;AT13;0
B05;AT2;0
B05;AT21;0
B05;AT22;0
B05;AT3;0
B05;AT31;0
B05;AT32;0
B05;AT33;0
B05;AT34;0
B05;BE;0
B05;BE1;0
